"SLNG_YMD","RT_CD","DPTM","CBN_CD","CHNL","SHPCO_CD","SHIP_CD","TOT_CNT","MKRV_CNT","HOLD_CNT","PREO_CNT","RMN_CNT","CBN_TYP","SWAY_CD","SLNG_TM","REG_ID","REG_DT"
"20230922","RTRSCJ","0020","CB210","PLHP0","HXF","SHP01","280","12","218","-6","56","CTFL0","LNRSCJ","0020","GUEST","2023-08-22 21:14:23"
"20230924","RTCJRS","1530","CB210","PLHP0","HXF","SHP01","280","5","218","-6","63","CTFL0","LNCJRS","1530","GUEST","2023-08-22 21:14:23"
"20230924","RTCJWD","1710","CB310","PLHP0","HXF","SHP03","120","8","24","-1","89","CTFL0","LNCJWD","1710","BATCH","2023-08-22 22:49:16"
"20230924","RTWDCJ","1500","CB310","PLHP0","HXF","SHP02","350","23","280","-2","49","CTFL0","LNWDCJ","1500","GUEST","2023-08-23 03:19:23"
"20230926","RTWDCJ","1500","CB310","PLHP0","HXF","SHP02","350","28","280","-2","44","CTFL0","LNWDCJ","1500","GUEST","2023-08-22 21:09:45"
"20230927","RTCJWD","1710","CB310","PLHP0","HXF","SHP03","111","30","24","-1","58","CTFL0","LNCJWD","1710","GUEST","2023-08-22 17:49:36"
"20230927","RTCJWD","1930","CBP10","PLHP0","HXF","SHP02","40","4","28","-1","9","CTFL0","LNCJWD","1930","BATCH","2023-08-22 16:21:15"
"20230928","RTWDCJ","0230","CB104","PLHP0","HXF","SHP02","36","44","0","-8","0","CTRM0","LNWDCJ","0230","GUEST","2023-08-22 22:08:33"
"20230929","RTCJWD","1710","CB310","PLHP0","HXF","SHP03","100","42","24","-1","35","CTFL0","LNCJWD","1710","GUEST","2023-08-23 10:00:23"
"20230929","RTRSCJ","0020","CB210","PLTC0","HXF","SHP01","33","2","32","-1","0","CTFL0","LNRSCJ","0020","ysgje","2023-08-22 17:56:52"
"20231001","RTCJRS","1530","CB210","PLTC0","HXF","SHP01","10","5","6","-1","0","CTFL0","LNCJRS","1530","GUEST","2023-08-22 15:40:30"
"20231001","RTCJRS","1530","CBC01","PLHP0","HXF","SHP01","11","12","0","-1","0","CTBD0","LNCJRS","1530","BATCH","2023-08-23 09:22:24"
"20231001","RTCJWD","1710","CB210","PLHP0","HXF","SHP03","64","57","0","8","-1","CTFL0","LNCJWD","1710","GUEST","2023-08-14 20:27:09"
"20231001","RTCJWD","1930","CB220","PLHP0","HXF","SHP02","71","72","0","-2","1","CTCH0","LNCJWD","1930","GUEST","2023-08-23 10:54:17"
"20231001","RTWDCJ","1500","CBP10","PLHP0","HXF","SHP02","49","12","28","-1","10","CTFL0","LNWDCJ","1500","hqwse","2023-08-23 11:15:11"
"20231002","RTCJWD","1930","CBP10","PLHP0","HXF","SHP02","40","21","11","-1","9","CTFL0","LNCJWD","1930","GUEST","2023-08-22 16:26:09"
"20231002","RTRSCJ","0020","CBC01","PLHP0","HXF","SHP01","10","4","1","-1","6","CTBD0","LNRSCJ","0020","GUEST","2023-08-21 22:37:00"
"20231002","RTRSCJ","0020","CBP10","PLHP0","HXF","SHP01","10","2","0","-1","9","CTFL0","LNRSCJ","0020","BATCH","2023-08-22 16:20:29"
"20231003","RTCJWD","1930","CB220","PLHP0","HXF","SHP02","104","20","0","-3","87","CTCH0","LNCJWD","1930","GUEST","2023-08-22 16:27:17"
"20231004","RTCJWD","1930","CBF00","PLHP0","HXF","SHP02","6","4","0","-2","4","CTRM0","LNCJWD","1930","BATCH","2023-08-22 14:18:29"
"20231007","RTWDCJ","0230","CBP10","PLHP0","HXF","SHP02","40","8","28","-1","5","CTFL0","LNWDCJ","0230","GUEST","2023-08-23 10:30:47"
"20231008","RTCJRS","1530","CBC00","PLHP0","HXF","SHP01","20","5","0","-1","16","CTBD0","LNCJRS","1530","GUEST","2023-08-22 20:16:38"
